artist,album,track,uri,time_signature,popularity_levels,album.release_year_category,artist.id,artist.genres,estimated_genre_type,genre_category
ROSALÍA,El Mal Querer,MALAMENTE - Cap.1: Augurio,1B0BQaSRHxhI0AUlItY3LK,4,"(24,85]","(2015,2022]",7ltDVBr6mKbRvohxheJ9h1,r&b en espanol,r&b,other
Charles McPherson,First Flight Out,Blues For Chuck,2zXkmUCk1oK2z7MFEQOk9E,5,"[0,1]","(2002,2010]",6iRat96avb9tai5DCUZ7qf,,,Not Assigned
Sonny Rollins Quartet,Tenor Madness - Saxophone Colossus,My Reverie,4ihfUK9GN50QbKe6k53n54,4,"[0,1]","(2002,2010]",2mlKlEmxOO3vb6DqopDh4H,bebop|jazz quartet,jazz,jazz
Charlie Parker,Charlie Parker With Strings,Stella By Starlight,4IO6MEGKRI3m0F7HAuyYtx,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Frédéric Chopin,Chopin Nocturnes,"Nocturnes, Op. 32: No. 1 in B Major",6rVuvYCyAmzztFKlZZfcH5,3,"(1,24]","(2015,2022]",7y97mc3bZRFXzT2szRM4L4,classical|early romantic era|polish classical,classical,other
Lee Morgan,The Sidewinder,Totem Pole - Remastered 1999/Rudy Van Gelder Edition,782py08Vd3JdBAP79X0FSz,4,"(24,85]","[1957,2002]",38C3okxv3fyyOIQUVPCdGX,bebop|big band|free jazz|hard bop|jazz|jazz trumpet|soul jazz,jazz,jazz
Portugal. The Man,The Satanic Satanist,Everyone Is Golden,6skCpX0AoGlwrLfxdMb3AX,4,"[0,1]","(2002,2010]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,alternative,alternative
Charlie Parker,Charlie Parker With Strings,Summertime - Take 1 / Alternate,5xjFlc2p9xj4Qrkh79k9q3,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Sex Bob-Omb,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Threshold,71eCZZitnIp6hdpweMNZek,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Willie Jones III,Groundwork,Toku Do,0358bakFOkMc9U1TcsXdT3,4,"[0,1]","(2010,2015]",06zKa5bEBIn8j0iUdCR6cX,jazz drums|straight-ahead jazz,jazz,jazz
The Fall of Troy,Doppelganger,Mouths Like Sidewinder Missles,0AlCpQIejCPdDNo4TCdVVq,4,"(24,85]","(2002,2010]",5fuQrhMRYMtoO9uOlFad4P,post-hardcore|progressive post-hardcore|sasscore|screamo|swancore,post-hardcore,other
Donald Harrison,The Chosen,Mr. PC,4CYFKoo74L1LQwHNXGhRdK,4,"[0,1]","(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,jazz,jazz
The Cannonball Adderley Quintet,Cannonball Adderley Quintet In Chicago,Stars Fell On Alabama,79Jl7eZTa96MDDlOF92A4t,4,"[0,1]","[1957,2002]",2o346NHhUAlVxl5uXBVxK7,bebop|big band|hard bop|jazz|jazz funk|jazz fusion|jazz saxophone|soul jazz,jazz,jazz
Jane's Addiction,Nothing's Shocking,Mountain Song,5fKZJHzJ9d3MADArbm9muW,4,"(24,85]","[1957,2002]",02NfyD6AlLA12crYzw5YcR,alternative metal|alternative rock|blues rock|funk metal|funk rock|grunge|nu metal|permanent wave|pop rock|rap rock|rock,alternative,alternative
Charlie Parker,Best of the Complete Savoy & Dial Studio Recordings,Ornithology,1oRuux8tjyiRB8jPdWQIHk,4,"[0,1]","[1957,2002]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Gary Burton,Crystal Silence,I'm Your Pal,7FDhbzHunmwye3bx0VHDY5,4,"(24,85]","[1957,2002]",4iovNkf44dsELmo3E7XSKX,contemporary jazz|ecm-style jazz|jazz|jazz fusion|jazz vibraphone,jazz,jazz
John Coltrane,Giant Steps,Giant Steps,18KSLe1ScEmgFt1XnyRSCV,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Timothy Blais,Whole New Worlds,Whole New Worlds,2Bi6DPzBG9SOxYeASlby0J,4,"(1,24]","(2015,2022]",4PS3SWjYQpYkF1f8iBuhbi,,,Not Assigned
The Flashbulb,Hardscrabble,One Melted Birthday Cake,74azTB3I1YVVka11tYkUir,4,"(1,24]","(2010,2015]",6mMCSCuTbGU6kNr4303LwH,breakcore|drill and bass|intelligent dance music,dance,dance
Charlie Parker,Bird - Original Motion Picture Soundtrack,I Can't Believe That You're In Love with Me,0h73BZoXWGH73bDDoCftNP,4,"(1,24]","[1957,2002]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Roy Hargrove,Nothing Serious,Devil Eyes,09Rub6Qs5rkhwLfLKBRFA9,4,"[0,1]","(2002,2010]",49zXTngyUTielHTbbH5YKs,bebop|big band|contemporary jazz|contemporary post-bop|jazz|jazz fusion|jazz trumpet,jazz,jazz
Ensiferum,Ensiferum,Treacherous Gods,4MoSsWCpdNdGDER9OsZSpv,4,"(24,85]","[1957,2002]",0krXCIkthz13P8o0v2tksH,finnish melodeath|finnish metal|folk metal|melodic death metal|metal|nordic folk metal|power metal|viking metal,metal,other
John Coltrane,Ascension (Editions I And II),Ascension -(Edition II),5DoitQEoWLObhzbH0epD5m,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Charlie Parker,Charlie Parker With Strings,Temptation,4HTieM17WNYiyRJ6LOdui2,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
The Delgados,Hate,Never Look At The Sun,0HLv9fOfNPL8ploYetEJQo,3,"[0,1]","[1957,2002]",4wavWMHhIiUXxwCuWsHzXo,britpop|scottish indie,indie,indie
Manchester Orchestra,Mean Everything To Nothing,I Can Feel a Hot One,2pwdgph51JIwFkhmvZdgAn,4,"(24,85]","(2002,2010]",5wFXmYsg3KFJ8BDsQudJ4f,indie rock,rock,other
re:plus,Miscellany,Outro,0peL9W63gsF29SbI6UCv8V,4,"(1,24]","(2010,2015]",6ftHlqrtNdAq0bWL7zkaTG,ambeat|japanese jazz fusion,jazz,jazz
"Lester Young, Roy Eldridge & Vic Dickenson",Jazz Giants -56,Funky Blus No.2,1kbs4kiHLenL629yZQVLSG,4,"[0,1]","(2002,2010]",0NKZIt0DlfPgRatwIcoI1A,,,Not Assigned
The Flashbulb,Hardscrabble,Alley Acid,1VP3XIpUTQO6JlKnynxiej,4,"(1,24]","(2010,2015]",6mMCSCuTbGU6kNr4303LwH,breakcore|drill and bass|intelligent dance music,dance,dance
The Mars Volta,Frances the Mute,L'Via L'Viaquez,3Ns3HjeW0Hsc67kYfzcjh1,4,"[0,1]","(2002,2010]",75U40yZLLPglFgXbDVnmVs,alternative metal|el paso indie,alternative,alternative
Manchester Orchestra,Mean Everything To Nothing,100 Dollars,1Pj6mofZHlzra2H2OFDbZn,3,"(24,85]","(2002,2010]",5wFXmYsg3KFJ8BDsQudJ4f,indie rock,rock,other
Various Artists,Cuadro De Amigos,Balada del Amigo,658xb1TjUetAF7LOv7MXn3,3,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
rü,terodesu,42°C,2tvYBX72cgAE1ggdsSSIPX,4,"[0,1]","(2015,2022]",1slGKMObSjFDHaNM5ILhSv,peruvian indie,indie,indie
