duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
263073,0,0.454,0.993,-2.898,0.0808,0.00794,0.378,0.819,0.379,145.349,2013,51,173496
282640,0,0.542,0.987,-1.119,0.0985,0.0039,0.346,0.321,0.431,173.938,2008,37,98895
58840,0,0.239,0.978,-3.959,0.153,0.166,0.247,0.373,0.193,116.988,2010,0,1738944
364440,0,0.344,0.0858,-15.989,0.0506,0.979,0.197,0.0891,0.189,80.778,2014,21,1719
228114,0,0.263,0.921,-1.971,0.0484,0.000577,0.122,0.323,0.324,182.978,2013,51,173496
444240,10,0.423,0.27,-13.774,0.0425,0.991,0.879,0.0989,0.213,137.56,2012,51,313664
322000,0,0.43,0.875,-3.061,0.0887,0.0928,0,0.04,0.443,126.105,2010,54,123161
220560,0,0.561,0.145,-16.158,0.0522,0.98,0.762,0.121,0.372,62.263,2002,53,540626
729680,45,0.305,0.77,-6.694,0.0276,0.062,0.203,0.0976,0.374,107.367,2010,75,2681980
236914,33,0.714,0.689,-10.039,0.0455,0.128,0.827,0.151,0.625,107.971,2019,40,73980
244133,21,0.348,0.523,-14.062,0.0418,0.0192,0.886,0.123,0.0663,148.617,2016,44,98561
543133,31,0.658,0.521,-12.606,0.0312,0.811,0.0786,0.0746,0.819,129.056,1965,47,126668
273866,0,0.521,0.957,-0.816,0.0849,0.00767,0.0502,0.024,0.751,174.033,2008,37,98895
223506,9,0.676,0.983,-5.394,0.162,0.0173,0.777,0.0691,0.66,91.003,2012,41,49926
181666,0,0.572,0.648,-6.015,0.0361,0.513,1.57e-06,0.112,0.535,153.869,2009,65,1348978
411973,11,0.461,0.555,-11.492,0.0432,0.787,0.0197,0.369,0.795,140.311,2004,51,113064
232400,34,0.456,0.713,-7.534,0.0556,0.394,0.961,0.0772,0.506,142.872,2006,47,138549
367560,0,0.533,0.861,-4.661,0.0433,0.0241,1.66e-05,0.101,0.275,140.008,2007,47,144710
204013,37,0.544,0.339,-15.159,0.0378,0.369,0.0248,0.0986,0.4,107.115,2018,65,1480095
333573,10,0.479,0.483,-12.381,0.11,0.311,0,0.427,0.704,106.317,1962,65,1480095
207457,18,0.662,0.787,-6.1,0.0851,0.0391,0.393,0.113,0.169,118.021,2011,37,88698
212386,0,0.376,0.444,-8.607,0.0356,0.842,0.442,0.0642,0.44,127.481,2015,53,540626
442400,38,0.365,0.568,-11.311,0.0468,0.0101,0.0132,0.57,0.604,74.417,1988,57,1258991
411293,33,0.542,0.378,-14.487,0.036,0.717,0.00347,0.083,0.383,112.017,1964,65,1480095
324133,36,0.454,0.26,-13.193,0.0401,0.539,0.00078,0.0675,0.598,174.322,1959,56,236687
334253,0,0.61,0.437,-12.211,0.0391,0.714,0.0197,0.336,0.527,97.767,2007,42,3881
