artist,album,track,uri,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_levels,album.release_year,album.release_year_category,artist.id,artist.genres,artist.popularity,artist.number_of_followers,estimated_genre_type,genre_category
John Coltrane,Untitled Original 11383,Untitled Original 11383,4Mxv2NpWywFrS477J9dIuC,341213,0,0.456,0.369,-14.078,0.0401,0.71,1.9e-06,0.296,0.613,111.717,4,"[0,1]",2018,"(2015,2022]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
Macross 82-99,CHAM!,Miss Macross,1UMTkDVCP1Osrt9BLj12go,149062,47,0.594,0.77,-6.79,0.183,0.000138,0.512,0.315,0.532,127.911,4,"(24,85]",2015,"(2010,2015]",5C8KyBfvAz9PSaOd30eIow,future funk|kawaii future bass|vaporwave,52,190966,bass,other
Dave Liebman,Solo (Live in New York),Red / Black / White / Grey / Blue / Yellow (Live),0c1AosGxPSvmEtuHyq3uIS,856087,0,0.379,0.226,-14.816,0.323,0.983,0.451,0.9,0.26,81.704,4,"[0,1]",2015,"(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,35,9673,jazz,jazz
MGMT,Oracular Spectacular,"Of Moons, Birds & Monsters",0w8dULoVhTuC8x8m8PKwX7,286720,50,0.598,0.899,-3.861,0.0424,0.0218,0.0137,0.0814,0.403,124.061,4,"(24,85]",2007,"(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,75,2681980,alternative,alternative
Taylor Swift,Fearless,Love Story,5hnJCRSo4pxRsaEwT9YusG,235280,60,0.618,0.736,-3.937,0.0308,0.157,0,0.073,0.307,118.982,4,"(24,85]",2008,"(2002,2010]",06HL4z0CvFAxyc27GXpf02,pop,99,65467877,pop,pop
Death Grips,Year Of The Snitch,Flies,2zyBojnQswXrorlyGghkwP,152612,41,0.404,0.932,-5.932,0.42,0.0437,1.15e-05,0.66,0.188,157.042,4,"(24,85]",2018,"(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,60,747307,experimental,other
Thundercat,It Is What It Is,Unrequited Love,55odIfJy7sm2HkHf3n9Gha,194177,45,0.43,0.507,-11.313,0.0409,0.665,0.74,0.116,0.234,126.855,4,"(24,85]",2020,"(2015,2022]",4frXpPxQQZwbCu3eTGnZEw,afrofuturism,74,1031796,afrofuturism,other
Shinsei Kamattechan,Minna Sine,speed,3we7dY3WhKoaRQwQnbVKaq,199453,0,0.412,0.855,-1.978,0.121,0.0718,1.15e-06,0.107,0.429,91.185,4,"[0,1]",2010,"(2002,2010]",1ZnuqrjIR4q8zhgriUYsSo,japanese alternative rock,54,123161,alternative,alternative
Park So Eun,Gogangdong,You Are My Literature,58uXTOsAxceman70g0WeUO,199771,40,0.701,0.47,-9.967,0.129,0.262,0,0.0728,0.343,84.925,4,"(24,85]",2020,"(2015,2022]",20gFWTh2tofhLIjyn2fHeG,k-indie|korean indie folk,28,5807,indie,indie
KNOWER,Think Thoughts,Here Comes The Big One (feat. David Binney),0Pq1onPHm0TZFDQcTcRf88,185309,15,0.85,0.747,-6.749,0.0959,0.0342,0.485,0.0561,0.872,112.974,4,"(1,24]",2011,"(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,37,88698,pop,pop
Terell Stafford,New Beginnings,Le Maurier,40Lc13R8Yqvk5GssWQWW80,301253,1,0.482,0.251,-12.324,0.0346,0.935,0.573,0.0958,0.31,121.38,4,"[0,1]",2003,"(2002,2010]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,26,2980,jazz,jazz
Manchester Orchestra,Mean Everything To Nothing,The River,7ashhMDsJ4Z0G9OCvAE5Dz,358520,33,0.338,0.365,-8.489,0.0297,0.0153,0.00144,0.124,0.207,141.58,3,"(24,85]",2009,"(2002,2010]",5wFXmYsg3KFJ8BDsQudJ4f,indie rock,62,482388,rock,other
The Dave Brubeck Quartet,Time Out,Strange Meadow Lark,0ivpUENLpheuPoa6VuY1ax,442226,45,0.53,0.143,-17.471,0.0423,0.958,0.497,0.278,0.119,125.464,4,"(24,85]",1959,"[1957,2002]",4iRZAbYvBqnxrbs6K25aJ7,bebop|jazz|jazz quartet,56,236687,jazz,jazz
Charlie Parker,Charlie Parker With Strings,April In Paris - Live At Carnegie Hall/1950,4ydow6feAKEeLk5Mt0rnwN,192239,0,0.377,0.464,-7.748,0.033,0.784,0.688,0.632,0.475,102.761,4,"[0,1]",2015,"(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,53,540626,jazz,jazz
John Coltrane,Giant Steps,Mr. P.C.,3DVtZVNqzVdijj75Py1YEY,418560,0,0.469,0.54,-11.856,0.0796,0.307,1.12e-05,0.363,0.576,130.693,4,"[0,1]",1960,"[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
Jane's Addiction,Nothing's Shocking,Had a Dad,3HVS01vPf5NMGS7ACAyEXv,225240,38,0.528,0.947,-9.669,0.0673,0.000792,0.00367,0.113,0.544,99.029,4,"(24,85]",1988,"[1957,2002]",02NfyD6AlLA12crYzw5YcR,alternative metal|alternative rock|blues rock|funk metal|funk rock|grunge|nu metal|permanent wave|pop rock|rap rock|rock,57,1258991,alternative,alternative
John Coltrane,Coltrane's Sound,Body and Soul,26bnmztmGcY03sO1uWmoTd,337133,29,0.517,0.269,-16.09,0.0332,0.851,0.474,0.1,0.273,141.846,4,"(24,85]",1964,"[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
